dataset,threshold,focal_model,baseline_model,metric,n_pools,mean_focal,mean_baseline,mean_improvement_delta,median_improvement_delta,pct_pools_improved,pct_pools_tied,pct_pools_worse,mean_positive_rate,median_candidates,ci95_low,ci95_high
robin_netperturbation,20,rnasmol,xgboost_ecfp,aupr,27,0.6686664193684831,0.5906105405867881,0.0780558787816952,0.0377253986036411,0.7777777777777778,0.0,0.2222222222222222,0.474330076667098,53.0,0.0371264883254269,0.1241879109140832
robin_netperturbation,20,rnasmol,xgboost_ecfp,ef5,27,1.832913344509439,1.342635204207828,0.4902781403016107,0.0,0.4074074074074074,0.4074074074074074,0.1851851851851851,0.474330076667098,53.0,0.1038312065168213,0.9393445621518391
robin_netperturbation,20,rnasmol,xgboost_ecfp,first_hit_rank,27,1.148148148148148,1.8148148148148149,0.6666666666666666,0.0,0.2592592592592592,0.6296296296296297,0.1111111111111111,0.474330076667098,53.0,0.074074074074074,1.4074074074074074
robin_netperturbation,20,rnasmol,xgboost_ecfp,mrr,27,0.925925925925926,0.8064814814814815,0.1194444444444444,0.0,0.2592592592592592,0.6296296296296297,0.1111111111111111,0.474330076667098,53.0,-0.0185185185185185,0.2638888888888889
robin_netperturbation,50,rnasmol,global_knn25,aupr,17,0.6986191598342701,0.6379241861210376,0.0606949737132324,0.0814052911052819,0.8823529411764706,0.0,0.1176470588235294,0.5515312508319132,60.0,0.0328132248964489,0.0881344145060574
robin_netperturbation,50,rnasmol,global_knn25,ef5,17,1.4940895324758996,1.2431968458373284,0.250892686638571,0.4444444444444444,0.5294117647058824,0.1764705882352941,0.2941176470588235,0.5515312508319132,60.0,-0.0022171449405674,0.5011769662550286
robin_netperturbation,50,rnasmol,global_knn25,first_hit_rank,17,1.1764705882352942,1.2941176470588236,0.1176470588235294,0.0,0.1764705882352941,0.7058823529411765,0.1176470588235294,0.5515312508319132,60.0,-0.1764705882352941,0.4705882352941176
robin_netperturbation,50,rnasmol,global_knn25,mrr,17,0.9117647058823528,0.892156862745098,0.0196078431372549,0.0,0.1764705882352941,0.7058823529411765,0.1176470588235294,0.5515312508319132,60.0,-0.1078431372549019,0.1470588235294117
robin_netperturbation,50,rnasmol,global_pos_nn,aupr,17,0.6986191598342701,0.5488854365166276,0.1497337233176426,0.1579594533570724,1.0,0.0,0.0,0.5515312508319132,60.0,0.1153801107443025,0.1868945722241345
robin_netperturbation,50,rnasmol,global_pos_nn,ef5,17,1.4940895324758996,0.9945546961087132,0.4995348363671865,0.6476190476190479,0.7058823529411765,0.0,0.2941176470588235,0.5515312508319132,60.0,0.1728756904729703,0.8300712675574518
robin_netperturbation,50,rnasmol,global_pos_nn,first_hit_rank,17,1.1764705882352942,1.866368177973008,0.689897589737714,0.7297297297297298,0.8235294117647058,0.0,0.1764705882352941,0.5515312508319132,60.0,0.3960004627964663,0.9677602652551216
robin_netperturbation,50,rnasmol,global_pos_nn,mrr,17,0.9117647058823528,0.5562693319194446,0.3554953739629082,0.421875,0.8235294117647058,0.0,0.1764705882352941,0.5515312508319132,60.0,0.2385730230191512,0.4578732718981312
robin_netperturbation,50,rnasmol,rf_ecfp,aupr,17,0.6986191598342701,0.5831908502015978,0.1154283096326722,0.1200628822458776,0.9411764705882352,0.0,0.0588235294117647,0.5515312508319132,60.0,0.0818510152059062,0.1488413253332902
robin_netperturbation,50,rnasmol,rf_ecfp,ef5,17,1.4940895324758996,0.7422537904914049,0.7518357419844947,0.8550724637681159,0.6470588235294118,0.1764705882352941,0.1764705882352941,0.5515312508319132,60.0,0.3414187179592819,1.1861897341048906
robin_netperturbation,50,rnasmol,rf_ecfp,first_hit_rank,17,1.1764705882352942,2.588235294117647,1.411764705882353,1.0,0.7647058823529411,0.2352941176470588,0.0,0.5515312508319132,60.0,0.8823529411764706,2.0
robin_netperturbation,50,rnasmol,rf_ecfp,mrr,17,0.9117647058823528,0.4823529411764705,0.4294117647058824,0.5,0.7647058823529411,0.2352941176470588,0.0,0.5515312508319132,60.0,0.2892156862745098,0.5676470588235294
robin_netperturbation,50,rnasmol,xgboost_ecfp,aupr,17,0.6986191598342701,0.6589116747052199,0.0397074851290502,0.0305357540878213,0.7058823529411765,0.0,0.2941176470588235,0.5515312508319132,60.0,0.0067219562556514,0.0731041139334085
robin_netperturbation,50,rnasmol,xgboost_ecfp,ef5,17,1.4940895324758996,1.3668427551918454,0.1272467772840539,0.0,0.4117647058823529,0.2941176470588235,0.2941176470588235,0.5515312508319132,60.0,-0.1600132718546095,0.4108346572953997
robin_netperturbation,50,rnasmol,xgboost_ecfp,first_hit_rank,17,1.1764705882352942,1.1764705882352942,0.0,0.0,0.1764705882352941,0.6470588235294118,0.1764705882352941,0.5515312508319132,60.0,-0.2941176470588235,0.2941176470588235
robin_netperturbation,50,rnasmol,xgboost_ecfp,mrr,17,0.9117647058823528,0.9117647058823528,0.0,0.0,0.1764705882352941,0.6470588235294118,0.1764705882352941,0.5515312508319132,60.0,-0.1470588235294117,0.1470588235294117
