level,model,min_candidates,n_target_groups,total_candidates,total_positives,median_candidates,mean_auc,median_auc,mean_aupr,median_aupr,mean_brier,median_brier,mean_log_loss,median_log_loss,mean_first_hit_rank,median_first_hit_rank,mean_mrr,median_mrr,mean_ef1,median_ef1,mean_ef5,median_ef5,mean_ef10,median_ef10,mean_top1_hit,median_top1_hit,mean_top3_hit,median_top3_hit,mean_top5_hit,median_top5_hit,mean_top10_hit,median_top10_hit,mean_top1_precision,median_top1_precision,mean_top3_precision,median_top3_precision,mean_top5_precision,median_top5_precision,mean_top10_precision,median_top10_precision,dataset,seed,run_dir
sample_mean,rnasmol,20,27,1492,763,49.0,0.9718400540186743,0.9789915966386554,0.9684745938277688,0.9839475263180106,0.084183773712004,0.0812293783474788,0.2674067227843824,0.2479127795413021,1.0,1.0,1.0,1.0,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851851851851852,1.0,0.9703703703703704,1.0,robin_molperturbation,20260620,rnasmol_ligand_only_training_probe_mol_120e_seed20260620
sample_mean,rnasmol_ligand_only_probe,20,27,1492,763,49.0,0.9592746815361236,0.9637931034482758,0.95381875029996,0.9651098802380672,0.0731121855972379,0.0614189804937574,0.2480134260617917,0.2172535557181367,1.0,1.0,1.0,1.0,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,2.001965837282125,1.8684210526315792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876543209876544,1.0,0.977777777777778,1.0,0.9518518518518518,1.0,robin_molperturbation,20260620,rnasmol_ligand_only_training_probe_mol_120e_seed20260620
sample_mean,rnasmol,50,13,991,514,72.0,0.9820423549056296,0.9843260188087772,0.9838504852339992,0.9855371417180094,0.0725159643910617,0.0704707376246763,0.2295844060385788,0.2260579625692214,1.0,1.0,1.0,1.0,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,robin_molperturbation,20260620,rnasmol_ligand_only_training_probe_mol_120e_seed20260620
sample_mean,rnasmol_ligand_only_probe,50,13,991,514,72.0,0.9707576898827658,0.971291866028708,0.9706565075358804,0.9689293916907352,0.0629100494802564,0.0614189804937574,0.2147759720232523,0.2172535557181367,1.0,1.0,1.0,1.0,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.9453605864217816,1.8684210526315792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923076923076924,1.0,robin_molperturbation,20260620,rnasmol_ligand_only_training_probe_mol_120e_seed20260620
sample_mean,rnasmol,20,27,1492,763,49.0,0.9718400540186743,0.9789915966386554,0.9684745938277688,0.9839475263180106,0.084183773712004,0.0812293783474788,0.2674067227843824,0.2479127795413021,1.0,1.0,1.0,1.0,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851851851851852,1.0,0.9703703703703704,1.0,robin_molperturbation,20260621,rnasmol_ligand_only_training_probe_mol_120e_seed20260621
sample_mean,rnasmol_ligand_only_probe,20,27,1492,763,49.0,0.9679020472998286,0.9736842105263158,0.9649462020058186,0.9731568102161368,0.0675471791309256,0.0599452199619082,0.2302879865423343,0.2145388957633042,1.0,1.0,1.0,1.0,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,2.010402051273895,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876543209876544,1.0,0.9925925925925926,1.0,0.9703703703703704,1.0,robin_molperturbation,20260621,rnasmol_ligand_only_training_probe_mol_120e_seed20260621
sample_mean,rnasmol,50,13,991,514,72.0,0.9820423549056296,0.9843260188087772,0.9838504852339992,0.9855371417180094,0.0725159643910617,0.0704707376246763,0.2295844060385788,0.2260579625692214,1.0,1.0,1.0,1.0,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,robin_molperturbation,20260621,rnasmol_ligand_only_training_probe_mol_120e_seed20260621
sample_mean,rnasmol_ligand_only_probe,50,13,991,514,72.0,0.9761943430215448,0.974404761904762,0.977754591557388,0.9755503863818944,0.0589629861604622,0.057133803033562,0.1987210262596105,0.2016734739071702,1.0,1.0,1.0,1.0,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.9628819539431488,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,robin_molperturbation,20260621,rnasmol_ligand_only_training_probe_mol_120e_seed20260621
sample_mean,rnasmol,20,27,1492,763,49.0,0.9718400540186743,0.9789915966386554,0.9684745938277688,0.9839475263180106,0.084183773712004,0.0812293783474788,0.2674067227843824,0.2479127795413021,1.0,1.0,1.0,1.0,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9851851851851852,1.0,0.9703703703703704,1.0,robin_molperturbation,20260622,rnasmol_ligand_only_training_probe_mol_120e_seed20260622
sample_mean,rnasmol_ligand_only_probe,20,27,1492,763,49.0,0.964037686488122,0.9705069124423964,0.9606035482617468,0.9684163846781548,0.0717637713873084,0.0682942959420275,0.2392567824768022,0.2203091187008506,1.0,1.0,1.0,1.0,2.039863330735175,1.885714285714286,2.039863330735175,1.885714285714286,2.010402051273895,1.885714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876543209876544,1.0,0.9851851851851852,1.0,0.9555555555555556,1.0,robin_molperturbation,20260622,rnasmol_ligand_only_training_probe_mol_120e_seed20260622
