dataset,threshold,baseline_model,metric,n_pools,improvement_mean,pearson_r,spearman_r,spearman_p,median_label_agreement_cutpoint,low_agreement_mean_improvement,high_agreement_mean_improvement,low_minus_high_mean_improvement,low_agreement_mean_positive_rate,high_agreement_mean_positive_rate
robin_molperturbation,50,global_knn25,mrr,13,0.0384615384615384,0.4532633463930218,0.4629100498862757,0.111172952769057,0.8648648648648649,0.0,0.0833333333333333,-0.0833333333333333,0.526030687238367,0.5048891501294461
robin_molperturbation,50,global_pos_nn,aupr,13,-0.0155626283254497,0.1017505611524679,0.1208791208791208,0.6940473279966857,0.8648648648648649,-0.0140842464057827,-0.0172874072317279,0.0032031608259451,0.526030687238367,0.5048891501294461
robin_molperturbation,50,global_pos_nn,ef5,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,global_pos_nn,first_hit_rank,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,global_pos_nn,mrr,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,rf_ecfp,aupr,13,0.0007330570621706,-0.5550455819239937,-0.5659340659340659,0.0437925922354548,0.8648648648648649,0.0058049716108607,-0.0051841765779679,0.0109891481888286,0.526030687238367,0.5048891501294461
robin_molperturbation,50,rf_ecfp,ef5,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,rf_ecfp,first_hit_rank,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,rf_ecfp,mrr,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,xgboost_ecfp,aupr,13,0.0050501590589713,-0.4081218463618423,-0.5,0.0818642311656943,0.8648648648648649,0.0122995307984067,-0.0034074413037031,0.0157069721021098,0.526030687238367,0.5048891501294461
robin_molperturbation,50,xgboost_ecfp,ef5,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,xgboost_ecfp,first_hit_rank,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_molperturbation,50,xgboost_ecfp,mrr,13,0.0,,,,0.8648648648648649,0.0,0.0,0.0,0.526030687238367,0.5048891501294461
robin_netperturbation,20,global_knn25,aupr,27,0.083371694587746,-0.4160690816648825,-0.2814407814407815,0.1549842433327827,0.490566037735849,0.1094516829817187,0.0552855532403909,0.0541661297413277,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_knn25,ef5,27,0.4539985431718777,-0.5842161882467662,-0.6883697418426237,7.21492331090057e-05,0.490566037735849,0.8417741697762401,0.0363940222133337,0.8053801475629063,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_knn25,first_hit_rank,27,0.7037037037037037,-0.4604897729568264,-0.3369211375863388,0.0857038072642351,0.490566037735849,1.3571428571428572,0.0,1.3571428571428572,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_knn25,mrr,27,0.0961199294532628,-0.4502808520496335,-0.3341927562564135,0.0884319128772335,0.490566037735849,0.2091836734693877,-0.0256410256410256,0.2348246991104134,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_pos_nn,aupr,27,0.1958215234116586,-0.4499093399750039,-0.3461538461538461,0.0769437273868917,0.490566037735849,0.2468594975312268,0.1408575512828927,0.1060019462483341,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_pos_nn,ef5,27,0.8365008665629505,-0.5907364098558556,-0.568986568986569,0.0019538319304383,0.490566037735849,1.3361129305356176,0.2984571053616168,1.037655825174001,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_pos_nn,first_hit_rank,27,1.1249874985191353,-0.8693910152834382,-0.877899877899878,1.8004046643500103e-09,0.490566037735849,1.7414444540558058,0.461110777171952,1.2803336768838538,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,global_pos_nn,mrr,27,0.4430621749865447,-0.6567157810263897,-0.7741147741147741,2.1651609399005403e-06,0.490566037735849,0.5886227062683967,0.2863046797599349,0.3023180265084618,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,rf_ecfp,aupr,27,0.1336412279389065,-0.4006480511602532,-0.3235653235653235,0.0996875497944065,0.490566037735849,0.1544841483052687,0.1111950060059009,0.0432891422993678,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,rf_ecfp,ef5,27,0.9754644345152086,-0.5563092138769725,-0.5860407139813055,0.0013175358069916,0.490566037735849,1.4400261730407748,0.4751671776415219,0.9648589953992528,0.3634209669430291,0.5937706563699411
robin_netperturbation,20,rf_ecfp,first_hit_rank,27,1.5185185185185186,-0.3901954904961588,-0.2299417573806729,0.2485747259058377,0.490566037735849,1.7857142857142858,1.2307692307692308,0.554945054945055,0.3634209669430291,0.5937706563699411
